"lane","file","line","control_type","control_id","text_expr","placeholder_expr","handlers","status","likely_placeholder"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","429","ModernComboBox","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","430","ModernComboBox","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","432","ModernComboBox","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","433","ModernComboBox","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","434","ModernComboBox","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","435","ModernTextField","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","436","ModernTextField","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","438","ModernTextField","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","439","ModernTextField","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","442","TextArea","expenseDetailsInput","","""Expense details""","onTextChanged","wired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","452","TextArea","notesInput","","""Notes""","onTextChanged","wired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","466","PillButton","","","","","unwired","False"
"Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","467","PillButton","","","","","unwired","False"
